"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2018-03-09",0,FALSE,"972018910081044480",FALSE,NA,NA,NA,NA,NA,2,FALSE,"ProfitNetwork","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","How To Determine The Social Media #Budget Your #SME Business Needs by @tonyrestell https://t.co/zqgofvZ3Uw on… https://t.co/YJ2Jddhx7E",TRUE
"2018-03-09",2,FALSE,"972018234047238144",FALSE,NA,NA,NA,NA,NA,2,FALSE,"YLSboutique","<a href=""https://postcron.com"" rel=""nofollow"">Postcron App</a>","#reloved #bridal #bride #gown #wedding #boutique #designer #marriage #yourlittlesecret #preloved #budget #bridetobe… https://t.co/yJGOsfVKiI",TRUE
"2018-03-09",0,FALSE,"972018183241719808",FALSE,NA,NA,NA,NA,NA,0,FALSE,"RB_English","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#Sofia hosts conference on #EU #budget
https://t.co/tyPIMeWBCv https://t.co/XDmp8QvjSH",FALSE
"2018-03-09",0,FALSE,"972017772992614400",TRUE,NA,NA,NA,NA,NA,1,FALSE,"heisnhyira","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","RT @DigitalKeith: How To Market Your Business On A Shoestring Budget https://t.co/FDA3jqZkwt / #Marketing #Budget #SocialMedia #SEO #Startu…",FALSE
"2018-03-09",0,FALSE,"972016657207001088",FALSE,NA,NA,NA,NA,NA,1,FALSE,"beckyboydgeek","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","How To Determine The Social Media #Budget Your #SME Business Needs by @tonyrestell https://t.co/HCa8KMd2yo on… https://t.co/SVejzB1IIf",TRUE
"2018-03-09",0,FALSE,"972015596522082304",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Cash_Crone","<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","Goals for 2018? Start with Grateful. https://t.co/wNemUXbNyr #2018 #budget #grateful #gratitude #money #savingmoney #winter",FALSE
"2018-03-09",0,FALSE,"972014228549881856",TRUE,NA,NA,NA,NA,NA,82,FALSE,"nabatkapoor","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @akashbanerjee: With India's richest 1% cornering 73% of the wealth generated last year &amp; the bottom 50% actually getting poorer; India'…",FALSE
"2018-03-09",0,FALSE,"972011873531871232",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Property4Your","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#Budget Independent #Builder Floor in #Jagatpura #Jaipur https://t.co/NCWQUT9Y18",FALSE
"2018-03-09",0,FALSE,"972011703276748800",FALSE,NA,NA,NA,NA,NA,0,FALSE,"SpendSaveInvest","<a href=""https://statusbrew.com"" rel=""nofollow"">Statusbrew</a>","Do you use any apps to track your #PersonalFinance? And what's your favorite app? #budget #income https://t.co/F6rgXmnyk4",FALSE
"2018-03-09",0,FALSE,"972011508187193344",TRUE,NA,NA,NA,NA,NA,2,FALSE,"verstaadGroup","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @verstaadGroup: Approximately half of all shutdown projects are delayed by more than 20% and 80% go over #budget by more than 10%
One wa…",FALSE
